Domínio,,,CÓDIGO,CRÉDITO,TURMA,DISCIPLINA,2,3,4,5,6,HORA,SALA,VAGAS 2021.2,PROFESSOR,,PERÍODIZAÇÃO
,,,DSG 1413,4,1AA,DESIGN DE OBJETOS INTELIGENTES,2,,4,,,07-09,VIRTUAL,25 DIG,Barbara Castro,,8º para DIG
,,,DSG 1413,4,1AB,DESIGN DE OBJETOS INTELIGENTES,2,,4,,,15-17,VIRTUAL,25 DIG ,João Bonelli,,8º para DIG
,,,DSG 1414,3,1AA,HISTÓRIAS DAS MÍDIAS DIGITAIS INTERATIVAS ,,,4,,,09-12,VIRTUAL,20 CDI/ 2 QQC,Joy Till,,Optativa de História da Arte e do Design
,,,DSG 1415,3,1AA,SONORIZAÇÃO E ÁUDIO DIGITAIS,,,4,,,07-10,K 015 ,15 DIG,Werther Azevedo,,8º para DIG OPTATIVA
,,,DSG 1417,3,1AA,QUESTÕES DE MOBILIDADE E UBIQUIDADER,2,,,,,13-16,VIRTUAL,20 QQC,Joy Till,,
,,,DSG 1421,3,1AA,PRINCIPIOS DE ANIMAÇÃO,,3,,,,16-19,LAIA,15 QQC,Marcos Amarante,,3º para DIG
Animação / Artes do Espetáculo,,,DSG 1421,3,1AB,PRINCIPIOS DE ANIMAÇÃO,,,,5,,15-18,LAIA,13 CDI / 2 QQC,Marcos Amarante,,3º para DIG
Animação,,,DSG 1422,3,1AA,COMPUTAÇÃO PARA ANIMAÇÃO,,,,5,,08-11,T 04,15 DIG / 1 QQC,Leonardo Cardarelli,,5º para DIG
Animação,,,DSG 1422,3,1AB,COMPUTAÇÃO PARA ANIMAÇÃO,,3,,,,10-13,K 015,15 DIG/ 1 QQC,Helena Cavalcanti,,5º para DIG
Animação,,,DSG 1423,2,1AA,HISTÓRIA  DA ANIMAÇÃO,,,4,,,17-19,VIRTUAL,14 CDI / 06 QQC ,Marcos Amarante,,2º/3º/5º/6º/7º para CV e DIG - 2º/3º/4º/6º/8º para MOD - 2º/3º/4º/5º/7º para PP optativa historia da arte e do design
,,,DSG 1423,2,1AB,HISTÓRIA  DA ANIMAÇÃO,,,4,,,13-15,VIRTUAL,14 CDI / 06 QQC,Marcos Amarante,,2º/3º/5º/6º/7º para CV e DIG - 2º/3º/4º/6º/8º para MOD - 2º/3º/4º/5º/7º para PP optativa historia da arte e do design
Animação,,,DSG 1424,3,1AA,ANIMAÇÃO ,,,,5,6,13-16,LAIA,12 CDI / 5 QQC,Claudia Bolshaw,,5º/8º para DIG OPTATIVA
,,,DSG 1424,3,1AB,ANIMAÇÃO ,,,4,,,13-16,LAIA,12 CDI / 5 QQC,Claudia Bolshaw,,5º/8º para DIG OPTATIVA
,,,DSG 1431,3,1AA,PRINCIPIOS DE JOGOS ELETRÔNICOS,,3,,,,16-19,LIFE,12 CDI/ 5 QQC,Guilherme Xavier,,3º para DIG
,,,DSG 1432,3,1AA,COMP. GRAF. E TEC. JOGOS ELET,,,,,6,10-13,T 04,12 DIG,Helena Cavalcanti,,6 º para DIG
