Domínio,,,CÓDIGO,CRÉDITO,TURMA,DISCIPLINA,2,3,4,5,6,HORA,SALA,VAGAS 2021.2,PROFESSOR,,PERÍODIZAÇÃO
,,,DSG 1949,2,1AA,OBJETO ROUPA,,,,5,,11-13,LAB MOD,20 ART,Gisela Pereira,,
,,,DSG 1953,2,1AA,CONECTIVIDADE E INTERATIVIDADE NAS ARTES E NO DESIGN,2,,,,,13-15,VIRTUAL,20 ART ,Rejane Spitz,,Optativa 
,,,DSG 1956,2,1AA,EXPERIÊNCIA DO USUÁRIO E INTERAÇÃO HUMANO TECNOLOGIA,,3,,,,09-11,VIRTUAL,20 ART ,Manuela Quaresma ,,
,,,DSG 1962,4,1AA,DESIGN ESTRATÉGICO,,,,,6,09-13,VIRTUAL,20 ART ,Carlo Franzato,,
,,,DSG 1972,2,1AA,LABORATÓRIO DO LÚDICO NOS PROCESSOS COMUNICACIONAIS,,3,,,,13-15,VIRTUAL,20 QQC,Luis Vicente,,Optativa
,,,DSG 1977,2,1AA,DESIGN DE EMBALAGEM ,,3,,,,11-13,K 008,20 ART,Claudia Kayat,,
,,,DSG 1988,2,1AA,PROTOTIPAGEM E SIMULAÇÃO DIGITAL,,,,5,,13-15,LIFE,18 ART ,Jacques Chueke,,
,,,DSG 1990,3,1AA,JOGOS DIGITAIS,,,,5,,08-11,FIFE,18 ART,Guilherme Xavier,,
,,,DSG 1999,3,1AA,CRIAÇÃO E TRAT. DA IMAGEM,,,,5,,13-16 > 15-18,K 015 ,15 CDI,Lula Rocha,,
,,,EMP1200,2,8AA,EMPREENDEDORISMO,,,,5,,11-13,VIRTUAL,30 DIG,Guilherme Toledo ,,8º
,,,EMP1200,2,8AB,EMPREENDEDORISMO,,,4,,,07-09,VIRTUAL,15 MOD/20 BPP,Luis Felipe S. Carvalho ADM,,8º
,,,EMP1200,2,8AC,EMPREENDEDORISMO,2,,,,,09-11,VIRTUAL,30 BCV ,Sylvia Therezinha de Almeida Moraes ADM,,8º
,,,FIL 1815,4,1AA,ESTÉTICA,2,,,,6,07-09,VIRTUAL,30 BPP,,,7º 
,,,FIL 1815,4,1AB,ESTÉTICA,2,,4,,,07-09,VIRTUAL,30 BCV,,,7º 
,,,FIL 1815,4,1AC,ESTÉTICA,2,,,5,,11-13,VIRTUAL,30 DIG,,,7º 
,,,FIL 1815,4,1AD,ESTÉTICA,2,,,,6,11-13,VIRTUAL,30 MOD,,,7º
,,,FIS 1130,2,3AA,FÍSICA,,,,5,,07-09,L 358,18 CDI,,,4º para DIG/ 5º para CV e PP/ 6º para MOD 
,,,FIS 1130,2,3AB,FÍSICA,,,,5,,09-11,L 358,18 CDI,,,4º para DIG/ 5º para CV e PP/ 6º para MOD 
,,,FIS 1130,2,3AC,FÍSICA,,,,5,,11-13,L 358,18 CDI,,,4º para DIG/ 5º para CV e PP/ 6º para MOD 
,,,FIS 1130,2,3AD,FÍSICA,,,,5,,13-15,L 358,18 CDI,,,4º para DIG/ 5º para CV e PP/ 6º para MOD 
,,,INF 1030,3,3AA,CONCEITOS DE INFORMÁTICA,,,,5,,08-11,VIRTUAL,15 DIG,Jan Krueger Siqueira,,6º para DIG
,,,INF 1030,3,3AB,CONCEITOS DE INFORMÁTICA,,,4,,,11-14,VIRTUAL,15 DIG,Cláudia Ferlin,,6º para DIG
,,,JUR 1809,2,2AA,DIREITO DO AUTOR,,,,,6,09-11,VIRTUAL,10 BPP/ 25 CDI,,,"7º para DIG, CV e PP/ 8º para MOD"
,,,JUR 1809,2,2AB,DIREITO DO AUTOR,2,,,,,09-11,VIRTUAL,20 BCV/15 DIG ,,,"7º para DIG, CV e PP/ 8º para MOD"
,,,JUR 1809,2,2AC,DIREITO DO AUTOR,,,,5,,07-09,VIRTUAL,20 MOD / 15 CDI,,,"7º para DIG, CV e PP/ 8º para MOD"
,,,LET 1910,4,1AA,ANALISE PRODUÇÃO TEXTO ACADÊMICOcad,2,,4,,,13-15,L 532,07 CAL/ 10 ART / 2 QQC,,,1º
,,,LET 1910,4,1AB,ANALISE PRODUÇÃO TEXTO ACADÊMICOcad,2,,4,,,13-15,L 658,07 CAL/ 10 ART / 2 QQC,,,1º
,,,LET 1910,4,1AC,ANALISE PRODUÇÃO TEXTO ACADÊMICOcad,2,,4,,,17-19,ART 1,08 CAL/ 15 ART ,,,1º
,,,LET 1910,4,1AD,ANALISE PRODUÇÃO TEXTO ACADÊMICOcad,2,,4,,,15-17,ART 2 ,08 CAL/ 15 ART ,,,1º
,,,PSI 1130,2,1AA,PSICOLOGIA E PERCEPÇÃO,,,,,6,15-17,VIRTUAL,25 ART,Tatiana Carvalho,,1º
,,,SOC 1114,4,2AA,SOCIOLOGIA,,,4,,6,11-13,VIRTUAL,30 CDI,,,3º Optativas sociologia/his-nucleo básico CTCH
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,presencial,,,,,,,,,,,,,,
,,,hibrido,,,,,,,,,,,,,,
,,,remoto,,,,,,,,,,,,,,
