SUPERS,CODIGO,TURMA,CR,DISCIPLINA,2,3,4,5,6,INICIO,FINAL,SALA,VAGAS,PROFESSORES1,H1,PROFESSORES2,H2,PROFESSORES3,H3,PROFESSORES4,H4,PROFESSORES5,H5,PROFESSORES6,H6,PROFESSORES7,H7,PROFESSORES8,H8,PROFESSORES9,H9,PROFESSORES10,H10,PERIODO
Izabel Oliveira,DSG1323,1AA,4,TEORIAS E ENFOQUES CRÍTICOS NA CV,FALSE,FALSE,FALSE,FALSE,TRUE,11,13,L260,15 ART/5 QQC,SIMONE CARVALHO DE FORMIGA XAVIER,,,,,,,,,,,,,,,,,,,,
Izabel Oliveira,DSG1332,1AA,2,TIPOGRAFIA II ,FALSE,FALSE,FALSE,TRUE,FALSE,9,11,ART2,20 ART,FABIO PINTO LOPES DE LIMA,2,,,,,,,,,,,,,,,,,,,
Izabel Oliveira,DSG1336,1AA,2,ENCADERNAÇÃO,FALSE,FALSE,TRUE,FALSE,FALSE,13,15,K17,10 ART/10 QQC,CRISTINA VIANA TENENBAUM,2,,,,,,,,,,,,,,,,,,,
João Bonelli,DSG1413,1AA,3,DESIGN DE OBJETOS INTELIGENTES,FALSE,TRUE,FALSE,FALSE,FALSE,11,14,LIFE,20 ART,LUIZ TORRES LUDWIG,3,,,,,,,,,,,,,,,,,,,
Luiza Marcier,DSG1414,1AA,3,HIST MIDIAS DIGIT INTERATIVAS,FALSE,FALSE,TRUE,FALSE,FALSE,13,16,VIRTUAL,10 ART/10 QQC,LEONARDO CARDARELLI LEITE,3,,,,,,,,,,,,,,,,,,,
João Bonelli,DSG1421,1AA,3,PRINCIPIOS DE ANIMAÇÃO,FALSE,TRUE,FALSE,FALSE,FALSE,13,16,LAIA,20 QQC,MARCOS AMARANTE DE ALMEIDA MAGALHAES,3,,,,,,,,,,,,,,,,,,,
Luiza Marcier,DSG1423,1AA,2,HISTORIA DA ANIMACAO,FALSE,FALSE,TRUE,FALSE,FALSE,17,19,VIRTUAL,20 QQC,MARCOS AMARANTE DE ALMEIDA MAGALHAES,2,,,,,,,,,,,,,,,,,,,
João Bonelli,DSG1424,1AA,3,ANIMACAO,FALSE,FALSE,TRUE,FALSE,FALSE,13,16,LAIA,10 ART/10 QQC,MARIA CLAUDIA BOLSHAW GOMES,3,,,,,,,,,,,,,,,,,,,
João Bonelli,DSG1424,1AB,3,ANIMACAO em inglês,FALSE,TRUE,FALSE,FALSE,FALSE,16,19,LAIA,20 QQC,MARCOS AMARANTE DE ALMEIDA MAGALHAES,3,,,,,,,,,,,,,,,,,,,
João Bonelli,DSG1432,1AA,3,COMP. GRAF. E TEC. JOGOS ELET,FALSE,FALSE,FALSE,FALSE,TRUE,9,12,LIFE,15 ART/5 QQC,LEONARDO CARDARELLI LEITE,3,,,,,,,,,,,,,,,,,,,
João Bonelli,DSG1442,1AA,3,NARRATIVA EM MULTIMIDIA ,TRUE,FALSE,FALSE,FALSE,FALSE,9,12,VIRTUAL,10 ART/10 QQC,RIAN OLIVEIRA REZENDE,,,,,,,,,,,,,,,,,,,,
Isabel Moreira,DSG1515,1AA,2,TEC. DE COSTURA,FALSE,FALSE,TRUE,FALSE,FALSE,9,11,LABMET,10 ART/10 QQC,WALVYKER ALVES DE SOUZA,2,,,,,,,,,,,,,,,,,,,
Isabel Moreira,DSG1516,1AA,3,DESENHO DE MODA aux por comp. - CAD,FALSE,FALSE,FALSE,TRUE,FALSE,11,14,LIFE,13 ART/,CLAUDIA MARIA MONTEIRO VIANNA,3,,,,,,,,,,,,,,,,,,,
Isabel Moreira,DSG1517,1AA,3,DESIGN DE ESTAMPARIA  ,FALSE,FALSE,FALSE,TRUE,FALSE,13,16,K17,10 ART/ 10 QQC,PRISCILA ANDRADE SILVA,3,,,,,,,,,,,,,,,,,,,
Isabel Moreira,DSG1518,1AA,4,TECNOLOGIA TÊXTIL,FALSE,FALSE,FALSE,FALSE,TRUE,11,15,ART4,15 ART/5 QQC,BARBARA DE OLIVEIRA E CRUZ,4,,,,,,,,,,,,,,,,,,,
Luiza Marcier,DSG1532,1AA,2,HIST DA MODA CONTEMPORANEA I,FALSE,FALSE,FALSE,FALSE,TRUE,9,11,VIRTUAL,10 ART/10 QQC,DANIELA CORREA DE OLIVEIRA,2,,,,,,,,,,,,,,,,,,,
Isabel Moreira,DSG1551,1AA,4,DESIGN DE ADORNOS PESSOAIS,FALSE,TRUE,FALSE,TRUE,FALSE,9,11,L260,20 ART,IRINA ARAGAO DOS SANTOS,4,,,,,,,,,,,,,,,,,,,
Isabel Moreira,DSG1552,1AA,2,HISTÓRIA DO ADORNO PESSOAL II,FALSE,FALSE,TRUE,FALSE,FALSE,11,13,L120,5 QQC / 15 ART,IRINA ARAGAO DOS SANTOS,2,,,,,,,,,,,,,,,,,,,
Claudia Kayat,DSG1613,1AA,2,REPRESENTAÇÃO EM VOLUME III,TRUE,FALSE,FALSE,FALSE,FALSE,7,9,K08,15 EPP,GABRIELLA FERREIRA CHAVES VACCARI,2,,,,,,,,,,,,,,,,,,,
Claudia Kayat,DSG1623,1AA,4,MATERIAIS E PROCES. DE PROD II ,FALSE,FALSE,TRUE,FALSE,FALSE,7,11,ART5,20 EPP,MARCO ANTONIO MAGALHAES LIMA,4,,,,,,,,,,,,,,,,,,,
João Bonelli,DSG1717,1AA,2,TED XIV - DISTRIBUIÇÃO AUDIOVISUAL,TRUE,FALSE,FALSE,FALSE,FALSE,9,11,VIRTUAL,10 ART/10 QQC,MARIA CLAUDIA BOLSHAW GOMES,2,,,,,,,,,,,,,,,,,,,
João Bonelli,DSG1718,1AA,2,NARRATIVAS AUDIOVISUAIS,FALSE,FALSE,TRUE,FALSE,FALSE,9,11,VIRTUAL,10 ART/10 QQC,MIGUEL SANTOS DE CARVALHO,2,,,,,,,,,,,,,,,,,,,
Eliane Garcia,DSG1782,1AA,4,AQUARELAS LIQUIDAS,TRUE,FALSE,FALSE,FALSE,FALSE,13,17,ART4,10 ART/10 QQC,EDUARDO ROCHA DE OLIVEIRA FILHO,4,,,,,,,,,,,,,,,,,,,
Jorge Langone,DSG1801,1AA,2,CONTEÚDOS ESTRUTURANTES: OLHAR INTRAMUROS,FALSE,TRUE,FALSE,FALSE,FALSE,13,15,L532,18 CAL/2 QQC,MARIA JULIA MORAES PINTO NUNES,2,,,,,,,,,,,,,,,,,,,1o 
Jorge Langone,DSG1801,1AB,2,CONTEÚDOS ESTRUTURANTES: OLHAR INTRAMUROS,FALSE,TRUE,FALSE,FALSE,FALSE,13,15,L120,18 CAL/2 QQC,HORISTA A CONTRATAR,2,,,,,,,,,,,,,,,,,,,1o 
Jorge Langone,DSG1801,1AC,2,CONTEÚDOS ESTRUTURANTES: OLHAR INTRAMUROS,FALSE,TRUE,FALSE,FALSE,FALSE,13,15,L658,18 CAL/2 QQC,FLAVIA NIZIA DA FONSECA RIBEIRO,2,,,,,,,,,,,,,,,,,,,1o 
