SUPERS,CODIGO,TURMA,CR,DISCIPLINA,2,3,4,5,6,INICIO,FINAL,SALA,VAGAS,PROFESSORES1,H1,PROFESSORES2,H2,PROFESSORES3,H3,PROFESSORES4,H4,PROFESSORES5,H5,PROFESSORES6,H6,PROFESSORES7,H7,PROFESSORES8,H8,PROFESSORES9,H9,PROFESSORES10,H10,PERIODO
João Bonelli,DSG1847,1AA,4,DESENHO DE CONCEPÇÃO,TRUE,FALSE,TRUE,FALSE,FALSE,13,15,ART1,20 ART,MATEU DE ATHAYDE VELASCO,4,,,,,,,,,,,,,,,,,,,2o
João Bonelli,DSG1847,1AB,4,DESENHO DE CONCEPÇÃO,TRUE,FALSE,TRUE,FALSE,FALSE,13,15,ART3,20 ART,NATHALIA CHEHAB DE SA CAVALCANTE,4,,,,,,,,,,,,,,,,,,,2o
João Bonelli,DSG1847,1AC,4,DESENHO DE CONCEPÇÃO,TRUE,FALSE,TRUE,FALSE,FALSE,13,15,L532,20 ART,JOSE AUGUSTO BRANDAO ESTELLITA LINS,4,,,,,,,,,,,,,,,,,,,2o
João Bonelli,DSG1847,1AD,4,DESENHO DE CONCEPÇÃO,TRUE,FALSE,TRUE,FALSE,FALSE,13,15,L658,20 ART,MARCOS AMARANTE DE ALMEIDA MAGALHAES,4,,,,,,,,,,,,,,,,,,,2o
Izabel Oliveira,DSG1848,1AA,3,PLÁSTICA,TRUE,FALSE,FALSE,FALSE,FALSE,15,18,L232,19 ART,GABRIELA DE GUSMAO PEREIRA,3,,,,,,,,,,,,,,,,,,,2o
Izabel Oliveira,DSG1848,1AB,3,PLÁSTICA,TRUE,FALSE,FALSE,FALSE,FALSE,15,18,L260,19 ART,CARLOS ANDRE LAMEIRAO CORTES,3,,,,,,,,,,,,,,,,,,,2o
Izabel Oliveira,DSG1848,1AC,3,PLÁSTICA,TRUE,FALSE,FALSE,FALSE,FALSE,15,18,ART1,19 ART,MATEU DE ATHAYDE VELASCO,3,,,,,,,,,,,,,,,,,,,2o
Izabel Oliveira,DSG1848,1AD,3,PLÁSTICA,FALSE,FALSE,FALSE,FALSE,TRUE,9,12,K17,19 ART,GABRIELA DE GUSMAO PEREIRA,3,,,,,,,,,,,,,,,,,,,2o
Izabel Oliveira,DSG1848,1AE,3,PLÁSTICA,TRUE,FALSE,FALSE,FALSE,FALSE,13,16,K17,19 ART,JORGE LANGONE,3,,,,,,,,,,,,,,,,,,,2o
Izabel Oliveira,DSG1848,1AF,3,PLÁSTICA,FALSE,FALSE,FALSE,FALSE,TRUE,13,16,L260,19 ART,MARCOS AMARANTE DE ALMEIDA MAGALHAES,3,,,,,,,,,,,,,,,,,,,2o
Izabel Oliveira,DSG1849,1AA,4,O CORPO HUMANO COMO QUESTÃO EM DESIGN,FALSE,TRUE,FALSE,FALSE,TRUE,15,17,L532,20 ART,DENISE BERRUEZO PORTINARI,2,PALESTRA,2,,,,,,,,,,,,,,,,,3o
Izabel Oliveira,DSG1849,1AB,4,O CORPO HUMANO COMO QUESTÃO EM DESIGN,FALSE,TRUE,FALSE,FALSE,TRUE,15,17,ART3,20 ART,NATHALIA CHEHAB DE SA CAVALCANTE,2,PALESTRA,2,,,,,,,,,,,,,,,,,3o
Izabel Oliveira,DSG1849,1AC,4,O CORPO HUMANO COMO QUESTÃO EM DESIGN,FALSE,TRUE,FALSE,FALSE,TRUE,15,17,L658,20 ART,LUIZA FERRO COSTA MARCIER,2,PALESTRA,2,,,,,,,,,,,,,,,,,3o
Izabel Oliveira,DSG1849,1AD,4,O CORPO HUMANO COMO QUESTÃO EM DESIGN,FALSE,TRUE,FALSE,FALSE,TRUE,15,17,ART4,20 ART,HORISTA A CONTRATAR,2,PALESTRA,2,,,,,,,,,,,,,,,,,
Izabel Oliveira,DSG1850,1AA,2,"LINGUAGEM, COMUNICAÇÃO E DISCURSO NO DESIGN II",FALSE,FALSE,FALSE,FALSE,TRUE,11,13,ART3,25 ART,VERA LUCIA MOREIRA DOS SANTOS NOJIMA,2,,,,,,,,,,,,,,,,,,,3o
Izabel Oliveira,DSG1850,1AB,2,"LINGUAGEM, COMUNICAÇÃO E DISCURSO NO DESIGN II",FALSE,FALSE,FALSE,FALSE,TRUE,13,15,ART3,25 ART,MARIA JULIA MORAES PINTO NUNES,2,,,,,,,,,,,,,,,,,,,3o
Izabel Oliveira,DSG1850,1AC,2,"LINGUAGEM, COMUNICAÇÃO E DISCURSO NO DESIGN II",FALSE,FALSE,FALSE,FALSE,TRUE,17,19,ART2,25 ART,SIMONE CARVALHO DE FORMIGA XAVIER,2,,,,,,,,,,,,,,,,,,,3o
Izabel Oliveira,DSG1850,1AD,2,"LINGUAGEM, COMUNICAÇÃO E DISCURSO NO DESIGN II",FALSE,FALSE,FALSE,FALSE,TRUE,13,15,L328,25 ART,PRISCILA ANDRADE SILVA,2,,,,,,,,,,,,,,,,,,,3o
Izabel Oliveira,DSG1851,1AA,2,GEOMETRIA DESCRITIVA,FALSE,FALSE,FALSE,FALSE,TRUE,13,15,ART1,20 ART,ALESSANDRA CARUSI MACHADO,2,,,,,,,,,,,,,,,,,,,3o
Izabel Oliveira,DSG1851,1AB,2,GEOMETRIA DESCRITIVA,FALSE,FALSE,FALSE,FALSE,TRUE,13,15,ART2,20 ART,LEONIDAS AUGUSTO CORREIA DE MORAES,2,,,,,,,,,,,,,,,,,,,3o
Izabel Oliveira,DSG1851,1AC,2,GEOMETRIA DESCRITIVA,FALSE,TRUE,FALSE,FALSE,FALSE,17,19,ART1,20 ART,LEONIDAS AUGUSTO CORREIA DE MORAES,2,,,,,,,,,,,,,,,,,,,
Izabel Oliveira,DSG1851,1AD,2,GEOMETRIA DESCRITIVA,FALSE,FALSE,FALSE,TRUE,FALSE,17,19,ART1,20 ART,ALESSANDRA CARUSI MACHADO,2,,,,,,,,,,,,,,,,,,,
Izabel Oliveira,DSG1851,1AE,2,GEOMETRIA DESCRITIVA,FALSE,FALSE,FALSE,TRUE,FALSE,17,19,F100,20 ART,CELSO BRAGA WILMER,2,,,,,,,,,,,,,,,,,,,
Izabel Oliveira,DSG1852,1AA,2,FUNDAMENTOS EM ERGODESIGN,FALSE,TRUE,FALSE,FALSE,FALSE,11,13,ART4,20 ART,ISABELA CANELLAS DA MOTTA,2,,,,,,,,,,,,,,,,,,,4o
Izabel Oliveira,DSG1852,1AB,2,FUNDAMENTOS EM ERGODESIGN,FALSE,FALSE,FALSE,TRUE,FALSE,11,13,L232,20 ART,CLAUDIA STAMATO,2,,,,,,,,,,,,,,,,,,,4o
Izabel Oliveira,DSG1853,1AA,2,DESENHO TÉCNICO,FALSE,TRUE,FALSE,FALSE,FALSE,11,13,L658,13 ART,CELSO BRAGA WILMER,2,,,,,,,,,,,,,,,,,,,4o
Izabel Oliveira,DSG1853,1AB,2,DESENHO TÉCNICO,FALSE,TRUE,FALSE,FALSE,FALSE,11,13,L260,13 ART,LEONIDAS AUGUSTO CORREIA DE MORAES,2,,,,,,,,,,,,,,,,,,,4o
Izabel Oliveira,DSG1853,1AC,2,DESENHO TÉCNICO,FALSE,FALSE,FALSE,TRUE,FALSE,11,13,ART4,13 ART,MARCO ANTONIO MAGALHAES LIMA,2,,,,,,,,,,,,,,,,,,,4o
Izabel Oliveira,DSG1853,1AD,2,DESENHO TÉCNICO,FALSE,FALSE,TRUE,FALSE,FALSE,13,15,ART2,13 ART,ALESSANDRA CARUSI MACHADO,2,,,,,,,,,,,,,,,,,,,4o
Izabel Oliveira,DSG1854,1AA,4,LINGUAGEM E ESTRUTURAS,TRUE,FALSE,TRUE,FALSE,FALSE,7,9,ART1,20 ART,AUGUSTO SEIBEL MACHADO,2,RIAN OLIVEIRA REZENDE,2,,,,,,,,,,,,,,,,,4o
Izabel Oliveira,DSG1854,1AB,4,LINGUAGEM E ESTRUTURAS,TRUE,FALSE,TRUE,FALSE,FALSE,7,9,ART2,20 ART,DANIEL MALAGUTI CAMPOS,2,FABIO PINTO LOPES DE LIMA,2,,,,,,,,,,,,,,,,,4o
Izabel Oliveira,DSG1855,1AA,3,"LINGUAGEM, COMUNICAÇÃO E DISCURSO NO DESIGN III",FALSE,FALSE,FALSE,FALSE,TRUE,9,12,L658,22 ART,RIAN OLIVEIRA REZENDE,3,,,,,,,,,,,,,,,,,,,5o
Izabel Oliveira,DSG1855,1AB,3,"LINGUAGEM, COMUNICAÇÃO E DISCURSO NO DESIGN III",FALSE,FALSE,FALSE,FALSE,TRUE,9,12,L422,22 ART,MARIA CLAUDIA BOLSHAW GOMES,3,,,,,,,,,,,,,,,,,,,5o
Izabel Oliveira,DSG1855,1AC,3,"LINGUAGEM, COMUNICAÇÃO E DISCURSO NO DESIGN III",FALSE,FALSE,FALSE,FALSE,TRUE,9,12,ART1,22 ART,MIGUEL SANTOS DE CARVALHO,3,,,,,,,,,,,,,,,,,,,5o
Izabel Oliveira,DSG1855,1AD,3,"LINGUAGEM, COMUNICAÇÃO E DISCURSO NO DESIGN III",FALSE,FALSE,FALSE,FALSE,TRUE,9,12,IAG3,22 ART,MARCOS AMARANTE DE ALMEIDA MAGALHAES,3,,,,,,,,,,,,,,,,,,,5o
Izabel Oliveira,DSG1856,1AA,2,BIONICA,FALSE,FALSE,FALSE,FALSE,TRUE,7,9,ART5,22 ART,JOAO VICTOR AZEVEDO DE MENEZES CORREIA DE MELO,2,,,,,,,,,,,,,,,,,,,5o
Izabel Oliveira,DSG1856,1AB,2,BIONICA,FALSE,FALSE,FALSE,FALSE,TRUE,7,9,ART4,22 ART,LUIS VICENTE BARROS CARDOSO DE MELO,2,,,,,,,,,,,,,,,,,,,
Izabel Oliveira,DSG1856,1AC,2,BIONICA,FALSE,FALSE,FALSE,FALSE,TRUE,7,9,ART3,22 ART,EVELYN GRUMACH,2,,,,,,,,,,,,,,,,,,,
Izabel Oliveira,DSG1856,1AD,2,BIONICA,FALSE,FALSE,FALSE,FALSE,TRUE,7,9,IAG3,22 ART,HORISTA A CONTRATAR,2,,,,,,,,,,,,,,,,,,,
Izabel Oliveira,DSG1857,1AA,2,ERGODESIGN,FALSE,TRUE,FALSE,FALSE,FALSE,7,9,L120,17 ART,ISABELA CANELLAS DA MOTTA,2,,,,,,,,,,,,,,,,,,,6o
Izabel Oliveira,DSG1857,1AB,2,ERGODESIGN,FALSE,TRUE,FALSE,FALSE,FALSE,9,11,IAG3,17 ART,CLAUDIA MARIA MONTEIRO VIANNA,2,,,,,,,,,,,,,,,,,,,6o
Izabel Oliveira,DSG1857,1AC,2,ERGODESIGN,FALSE,TRUE,FALSE,FALSE,FALSE,11,13,L120,17 ART,CLAUDIA STAMATO,2,,,,,,,,,,,,,,,,,,,6o
João Bonelli,DSG1861,1AA,2,PRÁTICAS EXPERIMENTAIS I,FALSE,FALSE,FALSE,TRUE,FALSE,15,17,ART5,18 ART,GABRIELLA FERREIRA CHAVES VACCARI,2,,,,,,,,,,,,,,,,,,,3o
João Bonelli,DSG1861,1AB,2,PRÁTICAS EXPERIMENTAIS I,FALSE,FALSE,FALSE,TRUE,FALSE,15,17,ART5,18 ART,GUILHERME DE ALMEIDA XAVIER,2,,,,,,,,,,,,,,,,,,,3o
João Bonelli,DSG1861,1AC,2,PRÁTICAS EXPERIMENTAIS I,FALSE,FALSE,FALSE,TRUE,FALSE,15,17,ART2,18 ART,GILBERTO MENDES CORREIA JUNIOR,2,,,,,,,,,,,,,,,,,,,3o
João Bonelli,DSG1861,1AD,2,PRÁTICAS EXPERIMENTAIS I,FALSE,FALSE,FALSE,TRUE,FALSE,15,17,ART2,18 ART,ANDRE LUIS FERREIRA BELTRAO,2,,,,,,,,,,,,,,,,,,,3o
João Bonelli,DSG1861,1AE,2,PRÁTICAS EXPERIMENTAIS I,FALSE,FALSE,FALSE,TRUE,FALSE,17,19,ART5,18 ART,AUGUSTO SEIBEL MACHADO,2,,,,,,,,,,,,,,,,,,,3o
João Bonelli,DSG1861,1AF,2,PRÁTICAS EXPERIMENTAIS I,FALSE,FALSE,FALSE,TRUE,FALSE,17,19,ART5,18 ART,CLAUDIA MARIA MONTEIRO VIANNA,2,,,,,,,,,,,,,,,,,,,3o
João Bonelli,DSG1862,1AA,2,PRÁTICAS EXPERIMENTAIS II,FALSE,FALSE,TRUE,FALSE,FALSE,9,11,K15,20 ART,JOY HELENA WORMS TILL,2,,,,,,,,,,,,,,,,,,,4o
João Bonelli,DSG1862,1AB,2,PRÁTICAS EXPERIMENTAIS II,FALSE,FALSE,TRUE,FALSE,FALSE,9,11,F100,20 ART,GUILHERME DE ALMEIDA XAVIER,2,,,,,,,,,,,,,,,,,,,4o
João Bonelli,DSG1862,1AC,2,PRÁTICAS EXPERIMENTAIS II,FALSE,FALSE,TRUE,FALSE,FALSE,9,11,LABMAC,20 ART,FLAVIO MARQUES DE CARVALHO JUNIOR,2,,,,,,,,,,,,,,,,,,,4o
João Bonelli,DSG1863,1AA,4,PRÁTICAS EXPERIMENTAIS III,TRUE,FALSE,TRUE,FALSE,FALSE,7,9,K15,20 ART,JOAO DE SA BONELLI,4,,,,,,,,,,,,,,,,,,,5o
João Bonelli,DSG1863,1AB,4,PRÁTICAS EXPERIMENTAIS III,TRUE,FALSE,TRUE,FALSE,FALSE,7,9,LIFE,20 ART,HORISTA A CONTRATAR,4,,,,,,,,,,,,,,,,,,,5o
João Bonelli,DSG1863,1AC,4,PRÁTICAS EXPERIMENTAIS III,FALSE,TRUE,FALSE,TRUE,FALSE,9,11,K15,20 ART,LUIZA FERRO COSTA MARCIER,4,,,,,,,,,,,,,,,,,,,5o
João Bonelli,DSG1863,1AD,4,PRÁTICAS EXPERIMENTAIS III,FALSE,TRUE,FALSE,TRUE,FALSE,9,11,LIFE,20 ART,LUIZ TORRES LUDWIG,4,,,,,,,,,,,,,,,,,,,5o
João Bonelli,DSG1864,1AA,4,PRÁTICAS EXPERIMENTAIS IV,FALSE,TRUE,FALSE,TRUE,FALSE,13,15,K08,25  ART,MARIO AUGUSTO PINTO DE SOUZA SEIXAS,4,,,,,,,,,,,,,,,,,,,Optativas de Praticas Experimentais
João Bonelli,DSG1864,1AB,4,PRÁTICAS EXPERIMENTAIS IV,FALSE,TRUE,FALSE,TRUE,FALSE,17,19,K08,25  ART,MARIO AUGUSTO PINTO DE SOUZA SEIXAS,4,,,,,,,,,,,,,,,,,,,Optativas de Praticas Experimentais
João Bonelli,DSG1865,1AA,4,PRÁTICAS EXPERIMENTAIS V,FALSE,TRUE,FALSE,TRUE,FALSE,13,15,LABMET,25  ART,LUCIANA BARBOSA DE SOUSA,4,,,,,,,,,,,,,,,,,,,Optativas de Praticas Experimentais
João Bonelli,DSG1866,1AA,2,PRÁTICAS EXPERIMENTAIS VI,FALSE,FALSE,FALSE,TRUE,FALSE,7,9,F100,20 ART,LEONARDO CARDARELLI LEITE,2,,,,,,,,,,,,,,,,,,,Optativas de Praticas Experimentais
João Bonelli,DSG1866,1AB,2,PRÁTICAS EXPERIMENTAIS VI,FALSE,FALSE,FALSE,FALSE,TRUE,11,13,K15,20 ART,HELENA CAVALCANTI DE ALBUQUERQUE,2,,,,,,,,,,,,,,,,,,,Optativas de Praticas Experimentais
João Bonelli,DSG1867,1AA,2,PRÁTICAS EXPERIMENTAIS VII,FALSE,FALSE,TRUE,FALSE,FALSE,13,15,LABMET,20 ART,MARIA ELOISA DE JESUS CONCEIÇÃO,2,,,,,,,,,,,,,,,,,,,Optativas de Praticas Experimentais
Eliane Garcia,DSG1900,1AA,4,PROJETO INTERDISCIPLINAR DE ÊNFASE,TRUE,FALSE,FALSE,FALSE,FALSE,7,11,L422,18 ART,LUIS VICENTE BARROS CARDOSO DE MELO,4,,,,,,,,,,,,,,,,,,,OPTATIVA DE OFICINA DE ENFASE
Eliane Garcia,DSG1900,1AB,4,PROJETO INTERDISCIPLINAR DE ÊNFASE,TRUE,FALSE,FALSE,FALSE,FALSE,7,11,L422,20 ART,PRISCILA ANDRADE SILVA,4,,,,,,,,,,,,,,,,,,,OPTATIVA DE OFICINA DE ENFASE
Eliane Garcia,DSG1900,1AC,4,PROJETO INTERDISCIPLINAR DE ÊNFASE,TRUE,FALSE,FALSE,FALSE,FALSE,7,11,L658,18 ART,NATHALIA CHEHAB DE SA CAVALCANTE,4,,,,,,,,,,,,,,,,,,,OPTATIVA DE OFICINA DE ENFASE
Eliane Garcia,DSG1900,1AD,4,PROJETO INTERDISCIPLINAR DE ÊNFASE,TRUE,FALSE,FALSE,FALSE,FALSE,7,11,L658,20 ART,FLAVIO MARQUES DE CARVALHO JUNIOR,4,,,,,,,,,,,,,,,,,,,OPTATIVA DE OFICINA DE ENFASE
Eliane Garcia,DSG1901,1AA,2,ESTÁGIO,TRUE,FALSE,FALSE,FALSE,FALSE,11,13,L658,25 ART,LEONARDO CARDARELLI LEITE,2,,,,,,,,,,,,,,,,,,,7o
Eliane Garcia,DSG1901,1AB,2,ESTÁGIO,TRUE,FALSE,FALSE,FALSE,FALSE,11,13,ART5,25 ART,MONICA SABOIA SADDI,2,,,,,,,,,,,,,,,,,,,7o
Eliane Garcia,DSG1901,1AC,2,ESTÁGIO,TRUE,FALSE,FALSE,FALSE,FALSE,11,13,L422,25 ART,GABRIELLA FERREIRA CHAVES VACCARI,2,,,,,,,,,,,,,,,,,,,7o
Eliane Garcia,DSG1901,1AD,2,ESTÁGIO,FALSE,FALSE,TRUE,FALSE,FALSE,11,13,IAG3,25 ART,MONICA SABOIA SADDI,2,,,,,,,,,,,,,,,,,,,7o
Eliane Garcia,DSG1901,1AE,2,ESTÁGIO,FALSE,FALSE,FALSE,FALSE,TRUE,9,11,ART3,25 ART,GILBERTO MENDES CORREIA JUNIOR,2,,,,,,,,,,,,,,,,,,,7o
Eliane Garcia,DSG1902,1AA,2,DOCUMENTAÇÃO DE PROJETO PARA TCC EM DESIGN,FALSE,FALSE,TRUE,FALSE,FALSE,7,9,VIRTUAL,18 ART,IZABEL MARIA DE OLIVEIRA,2,,,,,,,,,,,,,,,,,,,7o
Eliane Garcia,DSG1902,1AB,2,DOCUMENTAÇÃO DE PROJETO PARA TCC EM DESIGN,FALSE,FALSE,TRUE,FALSE,FALSE,7,9,VIRTUAL,18 ART,MARIA JULIA MORAES PINTO NUNES,2,,,,,,,,,,,,,,,,,,,7o
Eliane Garcia,DSG1902,1AC,2,DOCUMENTAÇÃO DE PROJETO PARA TCC EM DESIGN,FALSE,FALSE,TRUE,FALSE,FALSE,7,9,VIRTUAL,18 ART,VERA LUCIA MOREIRA DOS SANTOS NOJIMA,2,,,,,,,,,,,,,,,,,,,7o
Eliane Garcia,DSG1902,1AD,2,DOCUMENTAÇÃO DE PROJETO PARA TCC EM DESIGN,FALSE,FALSE,TRUE,FALSE,FALSE,7,9,VIRTUAL,18 ART,SILVIA HELENA SOARES DA COSTA,2,,,,,,,,,,,,,,,,,,,7o
Eliane Garcia,DSG1902,1AE,2,DOCUMENTAÇÃO DE PROJETO PARA TCC EM DESIGN,FALSE,FALSE,TRUE,FALSE,FALSE,7,9,VIRTUAL,18 ART,MARIA DAS GRACAS DE ALMEIDA CHAGAS,2,,,,,,,,,,,,,,,,,,,7o
Izabel Oliveira,DSG1910,1AA,3,ANTEPROJETO FINAL COMUN/ARTE,FALSE,FALSE,TRUE,FALSE,FALSE,9,12,VIRTUAL,12 ECA ,RITA MARIA DE SOUZA COUTO,2,JORGE LANGONE,1,,,,,,,,,,,,,,,,,7o
Izabel Oliveira,DSG1910,1AB,3,ANTEPROJETO FINAL COMUN/ARTE,FALSE,FALSE,TRUE,FALSE,FALSE,9,12,VIRTUAL,12 ECA ,ROBERTA PORTAS GONCALVES RODRIGUES,2,JORGE LANGONE,1,,,,,,,,,,,,,,,,,7o
Izabel Oliveira,DSG1910,1AC,3,ANTEPROJETO FINAL COMUN/ARTE,FALSE,FALSE,TRUE,FALSE,FALSE,9,12,VIRTUAL,12 ECA ,CARLOS EDUARDO FELIX DA COSTA,2,JORGE LANGONE,1,,,,,,,,,,,,,,,,,7o
Izabel Oliveira,DSG1911,1AA,3,ANTEPROJETO FINAL CORPO E MODA,FALSE,FALSE,TRUE,FALSE,FALSE,9,12,VIRTUAL,12 ECM,NILTON GONCALVES GAMBA JUNIOR,2,LUIZA FERRO COSTA MARCIER,1,,,,,,,,,,,,,,,,,7o
Felipe Rangel,DSG1912,1AA,3,ANTEPROJETO FINAL ESTRA-GESTAO,FALSE,FALSE,TRUE,FALSE,FALSE,9,12,VIRTUAL,12 EEG,MARIA MANUELA RUPP QUARESMA,2,MONICA SABOIA SADDI,1,,,,,,,,,,,,,,,,,7o
João Bonelli,DSG1913,1AA,3,ANTEPROJETO FINAL EXP/DIGITAL,FALSE,FALSE,TRUE,FALSE,FALSE,9,12,VIRTUAL,12 EID,CLAUDIA RENATA MONT ALVAO BASTOS RODRIGUES,2,JOY HELENA WORMS TILL,1,,,,,,,,,,,,,,,,,7o
Claudia Kayat,DSG1914,1AA,3,ANTEPROJETO FINAL PROD INOVACA,FALSE,FALSE,TRUE,FALSE,FALSE,9,12,VIRTUAL,12 EPI,VERA MARIA MARSICANO DAMAZIO,2,FELIPE RANGEL CARNEIRO,1,,,,,,,,,,,,,,,,,7o
Daniel Malaguti,DSG1915,1AA,3,ANTEPROJETO FINAL SUSTENTABILI,FALSE,FALSE,TRUE,FALSE,FALSE,9,12,VIRTUAL,12 ESA,CARLO FRANZATO,2,HORISTA A CONTRATAR,1,,,,,,,,,,,,,,,,,7o
Izabel Oliveira,DSG1920,1AA,8,PROJ FINAL COMUNICACAO E ARTE,TRUE,FALSE,FALSE,FALSE,FALSE,9,13,K17,10 ECA,IZABEL MARIA DE OLIVEIRA,4,LUIZ TORRES LUDWIG,2,JULIETA COSTA SOBRAL,2,,,,,,,,,,,,,,,8o
Izabel Oliveira,DSG1920,1AA,8,PROJ FINAL COMUNICACAO E ARTE,FALSE,FALSE,TRUE,FALSE,FALSE,9,13,ART4,10 ECA,IZABEL MARIA DE OLIVEIRA,,LUIZ TORRES LUDWIG,,JULIETA COSTA SOBRAL,,,,,,,,,,,,,,,,8o
Isabel Moreira,DSG1921,1AA,8,PROJETO FINAL CORPO E MODA,FALSE,FALSE,FALSE,FALSE,FALSE,__,__,SALA,0,,,,,,,,,,,,,,,,,,,,,8o
Felipe Rangel,DSG1922,1AA,8,PROJ FINAL ESTRATEGIA E GESTAO,FALSE,FALSE,FALSE,FALSE,FALSE,__,__,SALA,0,,,,,,,,,,,,,,,,,,,,,8o
João Bonelli,DSG1923,1AA,8,PROJ FINAL EXPERIENCIA DIGITA,TRUE,FALSE,TRUE,FALSE,FALSE,9,13,LIFE,3 EID,JOAO DE SA BONELLI,4,MARIA DAS GRACAS DE ALMEIDA CHAGAS,2,MARCELO FERNANDES PEREIRA,2,,,,,,,,,,,,,,,8o
Claudia Kayat,DSG1924,1AA,8,PROJ FINAL PRODUTO INOVACAO,TRUE,FALSE,TRUE,FALSE,FALSE,9,13,K08,2 EPI,CLAUDIA HABIB KAYAT,5,GABRIELLA FERREIRA CHAVES VACCARI,1,AUGUSTO SEIBEL MACHADO,1,FELIPE RANGEL CARNEIRO,1,,,,,,,,,,,,,8o
Daniel Malaguti,DSG1925,1AA,8,PROJ FINAL SUSTENT AMBIENTAL,FALSE,FALSE,FALSE,FALSE,FALSE,__,__,SALA,0,,,,,,,,,,,,,,,,,,,,,8o
Daniel Malaguti,DSG1930,1AA,4,MATERIAIS E PROCESSO CIRCULAR,FALSE,FALSE,FALSE,FALSE,TRUE,13,17,ART5,15 ART/5QQC,DANIEL MALAGUTI CAMPOS,4,,,,,,,,,,,,,,,,,,,OPTATIVA GERAL DE ENFASE
Felipe Rangel,DSG1931,1AA,4,EMPREENDEDORISMO EM DESIGN,FALSE,FALSE,FALSE,TRUE,FALSE,13,17,ART1,20 ART,GUILHERME AZEVEDO TOLEDO,4,,,,,,,,,,,,,,,,,,,OPTATIVA GERAL DE ENFASE
Izabel Oliveira,DSG1932,1AA,4,PROSPECCAO-ESCASSEZ-INCERTEZA,FALSE,TRUE,FALSE,TRUE,FALSE,7,9,K17,10 ART/10 QQC,CARLOS EDUARDO FELIX DA COSTA,4,,,,,,,,,,,,,,,,,,,OPTATIVA GERAL DE ENFASE
Daniel Malaguti,DSG1933,1AA,2,DESIGN PERSPECTIVA DECOLONIAL,FALSE,FALSE,FALSE,FALSE,FALSE,__,__,SALA,,,,,,,,,,,,,,,,,,,,,,OPTATIVA GERAL DE ENFASE
Claudia Kayat,DSG1934,1AA,2,DSG E IDENTIDADE SOCIOCULTURAL,FALSE,FALSE,FALSE,FALSE,FALSE,__,__,SALA,,,,,,,,,,,,,,,,,,,,,,OPTATIVA GERAL DE ENFASE
Daniel Malaguti,DSG1935,1AA,4,SUSTEN:HUMANA-SOCIAL-AMBIENTAL,FALSE,FALSE,FALSE,FALSE,FALSE,__,__,SALA,,,,,,,,,,,,,,,,,,,,,,OPTATIVA GERAL DE ENFASE
Daniel Malaguti,DSG1936,1AA,4,DIVERSIDADE-DESIGN INCLUSIVO,FALSE,FALSE,FALSE,FALSE,FALSE,__,__,SALA,,,,,,,,,,,,,,,,,,,,,,OPTATIVA GERAL DE ENFASE
Daniel Malaguti,DSG1937,1AA,2,ECODESIGN,FALSE,FALSE,FALSE,TRUE,FALSE,13,15,ART2,10 ART/10 QQC,AUGUSTO SEIBEL MACHADO,2,,,,,,,,,,,,,,,,,,,OPTATIVA GERAL DE ENFASE
Daniel Malaguti,DSG1938,1AA,2,TECNOLOGIA ASSISTIVA,FALSE,FALSE,FALSE,FALSE,FALSE,__,__,SALA,,,,,,,,,,,,,,,,,,,,,,OPTATIVA GERAL DE ENFASE
Daniel Malaguti,DSG1939,1AA,2,CONCEPCAO PROJETO SUSTENTAVEL,FALSE,FALSE,FALSE,FALSE,FALSE,__,__,SALA,,,,,,,,,,,,,,,,,,,,,,OPTATIVA GERAL DE ENFASE
João Bonelli,DSG1941,1AA,4,INTERFACES-OBJ. INTELIGENTES,FALSE,FALSE,TRUE,FALSE,TRUE,13,15,LIFE,20 ART,JOAO DE SA BONELLI,4,,,,,,,,,,,,,,,,,,,OPTATIVA GERAL DE ENFASE
João Bonelli,DSG1942,1AA,4,ESTUD-ERGONOMICO-AVANC-TESTE,FALSE,FALSE,FALSE,FALSE,TRUE,9,13,K08,10 ART/10QQC,CLAUDIA RENATA MONT ALVAO BASTOS RODRIGUES,4,,,,,,,,,,,,,,,,,,,OPTATIVA GERAL DE ENFASE
Claudia Kayat,DSG1943,1AA,4,LINGUAGEM DA FORMA,FALSE,TRUE,FALSE,FALSE,FALSE,7,11,K08,15 ART,GABRIELLA FERREIRA CHAVES VACCARI,4,,,,,,,,,,,,,,,,,,,OPTATIVA GERAL DE ENFASE
Claudia Kayat,DSG1944,1AA,2,PROCESSOS CRIATIVOS AVANCADOS,FALSE,FALSE,FALSE,FALSE,FALSE,__,__,SALA,,,,,,,,,,,,,,,,,,,,,,OPTATIVA GERAL DE ENFASE
Claudia Kayat,DSG1945,1AA,2,PROCESSOS DE MANUFATURA,FALSE,FALSE,FALSE,FALSE,TRUE,7,9,K17,15 ART/5QQC,GUILHERME LORENZONI DE ALMEIDA,2,,,,,,,,,,,,,,,,,,,OPTATIVA GERAL DE ENFASE
Isabel Moreira,DSG1946,1AA,4,MODA E O CORPO CONTEMPORANEO,FALSE,FALSE,FALSE,FALSE,FALSE,__,__,SALA,,,,,,,,,,,,,,,,,,,,,,OPTATIVA GERAL DE ENFASE
Isabel Moreira,DSG1947,1AA,4,CONSTR TEXTEIS-CORPO CULTURAL,FALSE,FALSE,FALSE,FALSE,FALSE,__,__,SALA,,,,,,,,,,,,,,,,,,,,,,OPTATIVA GERAL DE ENFASE
