Dom. Ad.,EQUIV.,SUPERVISÃO,CODIGO,CR.,TUR,DISCIPLINA,2,3,4,5,6,HORA,SALA,VAGAS 2021.2,PROFESSOR,PERIODIZACAO
,,João,DSG1424,3,1AB,ANIMAÇÃO ,,,4,,,13-16,LAIA,10 ART / 7 QQC,Claudia Bolshaw,5º/8º para DIG OPTATIVA
,,João,DSG1432,3,1AA,COMP. GRAF. E TEC. JOGOS ELET,,,,,6,13-16,F 100,15 DIG /5 QQC,Leonardo Cardarelli,6 º para DIG
,,João,DSG1433,3,1AA,DESIGN DE JOGOS ,,3,,,,13-16,K 015,15 QQC,Guilherme Xavier ,5º/8º para DIG OPTATIVA
Tecnologias e MD ,,João,DSG1441,4,1AA,HIPERMÍDIA,,3,,5,,11-13,ART 3/VIRTUAL,10 ART/10 QQC,Marcelo Pereira ,6º para DIG
,,João,DSG1442,3,1AA,NARRATIVA EM MULTIMIDIA ,2,,,,,11-14,VIRTUAL,10 ART/10 QQC,Rian Rezende,5º/8º para DIG OPTATIVA
,,Bel,DSG1502,2,1AA,TENDÊNCIAS EM DESIGN DE MODA,,3,,,,11-13,VIRTUAL,12 MOD /8 QQC,Priscila Andrade,6º para MOD
,,Bel,DSG1515,2,1AA,TEC. DE COSTURA,,,4,,,09-11,LAB MOD,10 MOD/ 10 ART ,Walvyker Souza,5º para MOD
,Ultimo semestre ,Bel,DSG1516,3,1AA,DESENHO DE MODA aux por comp. - CAD,2,,,,,10-13,LIFE,12 MOD,Claudia Vianna ,6º para MOD
,,Bel,DSG1517,3,1AA,DESIGN DE ESTAMPARIA ,,,,5,,13-16,K 017,7 MOD/ 13 QQC,Priscila Andrade ,5º para MOD
,Ultimo semestre ,Bel,DSG1518,4,1AA,TECNOLOGIA TÊXTIL,,,,,6,07-11,ART 1,18 MOD/ 2 QQC,Barbara Cruz,6º para MOD
,,Bel,DSG1519,2,1AA,ALFAIATARIA,,,,,6,13-15,LAB MOD,20 ART ,Walvyker Souza,8º Optativa de design de moda 
,DSG0100,Luiza,DSG1532,2,1AA,HISTORIA DA MODA CONTEMPORÂNEA I,,,,,6,09-11,VIRTUAL,10 ART/ 10 QQC,Daniela Oliveira,7º para MOD
,DSG0100,Luiza,DSG1533,2,1AA,HISTORIA DA MODA CONTEMPORÂNEA II,,,,5,,07-09,VIRTUAL,10 ART/ 10 QQC,Daniela Oliveira,2º/3º/5º/6º/7º para CV e DIG - 2º/3º/4º/6º/8º para MOD - 2º/3º/4º/5º/7º para PP optativa historia da arte e do design
,ART0100/DSG0151,Bel,DSG1535,2,1AA,DESENHO DE MODA,,,,5,,07-09,F 100,15 ART / 5 QQC,Maria Eloisa,Optativas de desenho
Artes do Espetáculo,,Bel,DSG1537,2,1AA ,FIGURINO,,,,,6,11-13,ART 2,10 ART / 5 QQC / 10 ACN,Silvia Helena ,8º Optativa de design de moda 
,DSG0100,Luiza,DSG1538,2,1AA,HISTÓRIA DA MODA BRASILEIRA ,,,,,6,09-11,VIRTUAL,10 ART/ 10 QQC,Silvia Helena ,2º/3º/5º/6º/7º para CV e DIG - 2º/3º/4º/6º/8º para MOD - 2º/3º/4º/5º/7º para PP optativa historia da arte e do design
,,Bel,DSG1551,4,1AA,DESIGN DE ADORNOS PESSOAIS,,3,,5,,11-13/ 11-13,VIRTUAL/L 422,10 ART/ 10 QQC,Irina Aragão,
,DSG0100,Luiza,DSG1553,2,1AA,HISTÓRIA DO ADORNO PESSOAL II,,,4,,,11-13,VIRTUAL,10 ART/ 10 QQC,Irina Aragão,Optativas de História da Arte e do Design
,Ultimo semestre,Kayat,DSG1602,2,1AA,TENDÊNCIAS EM DESIGN DE PRODUTO,,,,5,,11-13,VIRTUAL,10 EPP/10 QQC,Flavio Carvalho,6º para PP
,Ultimo semestre,Kayat,DSG1605,3,1AA,BIÔNICA ,,3,,,,11-14,ART 2,10 EPP/ 10 QQC,João Victor,6º para PP
,Ultimo semestre,Kayat,DSG1612,3,1AA,REPRESENTAÇÃO EM VOLUME II,2,,,,,13-16,K 008 e LAMP,4 EPP / 16 ART,Gabriella Vaccari ,3º para PP
,Ultimo semestre 2 semestre,Kayat,DSG1613,2,1AA,REPRESENTAÇÃO EM VOLUME III,2,,,,,11-13,K 008 e LAMP,22 EPP,Gabriella Vaccari,8ª para PP
,Ultimo semestre,Kayat,DSG1623,4,1AA,MATERIAIS E PROCES. DE PROD II,,,,,6,07-11,ART 3,20 EPP ,Marco Antônio ,6º para PP
