SUPERS,CODIGO,TURMA,CR,DISCIPLINA,2,3,4,5,6,INICIO,FINAL,SALA,VAGAS,PROFESSORES1,H1,PROFESSORES2,H2,PROFESSORES3,H3,PROFESSORES4,H4,PROFESSORES5,H 5,PROFESSORES6,H6,PROFESSORES7,H7,PROFESSORES8,H8,PROFESSORES9,H9,PROFESSORES10,H10,PERIODO
Jorge Langone,DSG1802,1AA,2,CONTEÚDOS ESTRUTURANTES: OLHAR EXTRAMUROS,FALSE,FALSE,FALSE,TRUE,FALSE,13,15,ART1,20 ART,,,,,,,,,,,,,,,,,,,,,2o
Jorge Langone,DSG1802,1AB,2,CONTEÚDOS ESTRUTURANTES: OLHAR EXTRAMUROS,FALSE,FALSE,FALSE,TRUE,FALSE,13,15,ART2,21 ART,,,,,,,,,,,,,,,,,,,,,2o
Jorge Langone,DSG1802,1AC,2,CONTEÚDOS ESTRUTURANTES: OLHAR EXTRAMUROS,FALSE,FALSE,FALSE,TRUE,FALSE,13,15,ART3,21 ART,,,,,,,,,,,,,,,,,,,,,2o
Jorge Langone,DSG1802,1AD,2,CONTEÚDOS ESTRUTURANTES: OLHAR EXTRAMUROS,FALSE,FALSE,FALSE,TRUE,FALSE,13,15,SALA,21 ART,,,,,,,,,,,,,,,,,,,,,2o
Jorge Langone,DSG1803,1AA,2,CONTEÚDOS ESTRUTURANTES: PROJETAR EM PARCERIA,TRUE,FALSE,FALSE,FALSE,FALSE,13,15,SALA,20 ART,,,,,,,,,,,,,,,,,,,,,3o
Jorge Langone,DSG1803,1AB,2,CONTEÚDOS ESTRUTURANTES: PROJETAR EM PARCERIA,TRUE,FALSE,FALSE,FALSE,FALSE,13,15,SALA,20 ART,,,,,,,,,,,,,,,,,,,,,3o
Jorge Langone,DSG1803,1AC,2,CONTEÚDOS ESTRUTURANTES: PROJETAR EM PARCERIA,TRUE,FALSE,FALSE,FALSE,FALSE,13,15,SALA,20 ART,,,,,,,,,,,,,,,,,,,,,3o
Jorge Langone,DSG1803,1AD,2,CONTEÚDOS ESTRUTURANTES: PROJETAR EM PARCERIA,TRUE,FALSE,FALSE,FALSE,FALSE,13,15,SALA,20 ART,,,,,,,,,,,,,,,,,,,,,3o
Jorge Langone,DSG1803,1AE,2,CONTEÚDOS ESTRUTURANTES: PROJETAR EM PARCERIA,TRUE,FALSE,FALSE,FALSE,FALSE,13,15,SALA,20 ART,,,,,,,,,,,,,,,,,,,,,3o
Jorge Langone,DSG1803,1AF,2,CONTEÚDOS ESTRUTURANTES: PROJETAR EM PARCERIA,TRUE,FALSE,FALSE,FALSE,FALSE,13,15,SALA,20 ART,,,,,,,,,,,,,,,,,,,,,3o
Jorge Langone,DSG1804,1AA,2,CONTEÚDOS ESTRUTURANTES: PROJETAR EM SOCIEDADE,FALSE,TRUE,FALSE,FALSE,FALSE,9,11,L260,17 ART,MARIA JULIA MORAES PINTO NUNES,,,,,,,,,,,,,,,,,,,,4o
Jorge Langone,DSG1804,1AB,2,CONTEÚDOS ESTRUTURANTES: PROJETAR EM SOCIEDADE,FALSE,TRUE,FALSE,FALSE,FALSE,9,11,ART3,18 ART,CLAUDIO GOMES WERNECK DE FREITAS,,,,,,,,,,,,,,,,,,,,4o
Jorge Langone,DSG1804,1AC,2,CONTEÚDOS ESTRUTURANTES: PROJETAR EM SOCIEDADE,FALSE,TRUE,FALSE,FALSE,FALSE,9,11,IAG3,18 ART,,,,,,,,,,,,,,,,,,,,,4o
Jorge Langone,DSG1805,1AA,2,CONTEÚDOS ESTRUTURANTES: PROJETAR PARA CONCRETIZAR,TRUE,FALSE,FALSE,FALSE,FALSE,9,11,SALA,21 ART,,,,,,,,,,,,,,,,,,,,,5o
Jorge Langone,DSG1805,1AB,2,CONTEÚDOS ESTRUTURANTES: PROJETAR PARA CONCRETIZAR,TRUE,FALSE,FALSE,FALSE,FALSE,9,11,SALA,21 ART,,,,,,,,,,,,,,,,,,,,,5o
Jorge Langone,DSG1805,1AC,2,CONTEÚDOS ESTRUTURANTES: PROJETAR PARA CONCRETIZAR,TRUE,FALSE,FALSE,FALSE,FALSE,9,11,SALA,22 ART,,,,,,,,,,,,,,,,,,,,,5o
Jorge Langone,DSG1805,1AD,2,CONTEÚDOS ESTRUTURANTES: PROJETAR PARA CONCRETIZAR,TRUE,FALSE,FALSE,FALSE,FALSE,9,11,SALA,22 ART,,,,,,,,,,,,,,,,,,,,,5o
Jorge Langone,DSG1806,1AA,2,CONTEÚDOS ESTRUTURANTES: PROJETAR PARA RESSIGNIFICAR A PRÁTICA,FALSE,FALSE,TRUE,FALSE,FALSE,7,9,L422,12 ART,,,,,,,,,,,,,,,,,,,,,6o
Jorge Langone,DSG1806,1AA,2,CONTEÚDOS ESTRUTURANTES: PROJETAR PARA RESSIGNIFICAR A PRÁTICA,FALSE,FALSE,TRUE,FALSE,FALSE,7,9,L532,12 ART,,,,,,,,,,,,,,,,,,,,,6o
Claudia Bolshaw,DSG1811,1AA,4,ESTÚDIO: OLHAR INTRAMUROS,FALSE,FALSE,FALSE,TRUE,FALSE,13,17,L232,18 CAL,FLAVIA NIZIA DA FONSECA RIBEIRO,2,BARBARA DE OLIVEIRA E CRUZ,1,TATIANA BARBOSA CARVALHO,1,,,,,,,,,,,,,,,1o 
Claudia Bolshaw,DSG1811,1AB,4,ESTÚDIO: OLHAR INTRAMUROS,FALSE,FALSE,FALSE,TRUE,FALSE,13,17,L232,18 CAL,LUIS VICENTE BARROS CARDOSO DE MELO,2,BARBARA DE OLIVEIRA E CRUZ,1,PALESTRA,1,,,,,,,,,,,,,,,1o 
Claudia Bolshaw,DSG1811,1AC,4,ESTÚDIO: OLHAR INTRAMUROS,FALSE,FALSE,FALSE,TRUE,FALSE,13,17,L260,18 CAL,MARIO AUGUSTO PINTO DE SOUZA SEIXAS,2,NATHALIA CHEHAB DE SA CAVALCANTE,1,PALESTRA,,,,,,,,,,,,,,,,1o 
Claudia Bolshaw,DSG1811,1AD,4,ESTÚDIO: OLHAR INTRAMUROS,FALSE,FALSE,FALSE,TRUE,FALSE,13,17,L260,18 CAL,CARLOS ANDRE LAMEIRAO CORTES,2,NATHALIA CHEHAB DE SA CAVALCANTE,1,PALESTRA,1,,,,,,,,,,,,,,,1o 
Claudia Bolshaw,DSG1811,1AE,4,ESTÚDIO: OLHAR INTRAMUROS,FALSE,FALSE,FALSE,TRUE,FALSE,13,17,L532,18 CAL,LUIZA FERRO COSTA MARCIER,2,MARIA CLAUDIA BOLSHAW GOMES,1,PALESTRA,1,,,,,,,,,,,,,,,1o 
Claudia Bolshaw,DSG1811,1AF,4,ESTÚDIO: OLHAR INTRAMUROS,FALSE,FALSE,FALSE,TRUE,FALSE,13,17,L532,18 CAL,CLAUDIO GOMES WERNECK DE FREITAS,2,MARIA CLAUDIA BOLSHAW GOMES,1,PALESTRA,1,,,,,,,,,,,,,,,1o 
Claudia Bolshaw,DSG1811,1AG,4,ESTÚDIO: OLHAR INTRAMUROS,FALSE,FALSE,FALSE,TRUE,FALSE,13,17,SALA,18 CAL,HORISTA A CONTRATAR,,HORISTA A CONTRATAR,1,PALESTRA,1,,,,,,,,,,,,,,,1o 
Isabel Moreira,DSG1812,1AA,4,ESTÚDIO: OLHAR EXTRAMUROS,FALSE,TRUE,FALSE,FALSE,FALSE,13,17,L260,13 ART,,,,,,,,,,,,,,,,,,,,,2o
Isabel Moreira,DSG1812,1AB,4,ESTÚDIO: OLHAR EXTRAMUROS,FALSE,TRUE,FALSE,FALSE,FALSE,13,17,L260,14 ART,,,,,,,,,,,,,,,,,,,,,2o
Isabel Moreira,DSG1812,1AC,4,ESTÚDIO: OLHAR EXTRAMUROS,FALSE,TRUE,FALSE,FALSE,FALSE,13,17,L232,14 ART,,,,,,,,,,,,,,,,,,,,,2o
Isabel Moreira,DSG1812,1AD,4,ESTÚDIO: OLHAR EXTRAMUROS,FALSE,TRUE,FALSE,FALSE,FALSE,13,17,L232,14 ART,,,,,,,,,,,,,,,,,,,,,2o
Isabel Moreira,DSG1812,1AE,4,ESTÚDIO: OLHAR EXTRAMUROS,FALSE,TRUE,FALSE,FALSE,FALSE,13,17,L422,14 ART,,,,,,,,,,,,,,,,,,,,,2o
Isabel Moreira,DSG1812,1AF,4,ESTÚDIO: OLHAR EXTRAMUROS,FALSE,TRUE,FALSE,FALSE,FALSE,13,17,L422,14 ART,,,,,,,,,,,,,,,,,,,,,2o
Renata Mattos,DSG1813,1AA,6,PROJETO: PROJETAR EM PARCERIA,FALSE,FALSE,TRUE,FALSE,FALSE,13,19,ART4,14 ART,,,,,,,,,,,,,,,,,,,,,3o
Renata Mattos,DSG1813,1AB,6,PROJETO: PROJETAR EM PARCERIA,FALSE,FALSE,TRUE,FALSE,FALSE,13,19,ART4,14 ART,,,,,,,,,,,,,,,,,,,,,3o
Renata Mattos,DSG1813,1AC,6,PROJETO: PROJETAR EM PARCERIA,FALSE,FALSE,TRUE,FALSE,FALSE,13,19,ART5,14 ART,,,,,,,,,,,,,,,,,,,,,3o
Renata Mattos,DSG1813,1AD,6,PROJETO: PROJETAR EM PARCERIA,FALSE,FALSE,TRUE,FALSE,FALSE,13,19,ART5,14 ART,,,,,,,,,,,,,,,,,,,,,3o
Renata Mattos,DSG1813,1AE,6,PROJETO: PROJETAR EM PARCERIA,FALSE,FALSE,TRUE,FALSE,FALSE,13,19,SALA,14 ART,,,,,,,,,,,,,,,,,,,,,3o
Renata Mattos,DSG1813,1AF,6,PROJETO: PROJETAR EM PARCERIA,FALSE,FALSE,TRUE,FALSE,FALSE,13,19,SALA,15 ART,,,,,,,,,,,,,,,,,,,,,3o
Guilherme Toledo,DSG1814,1AA,6,PROJETO: PROJETAR EM SOCIEDADE,TRUE,FALSE,FALSE,FALSE,FALSE,9,13,L232,13 ART,,,,,,,,,,,,,,,,,,,,,4o
Guilherme Toledo,DSG1814,1AA,6,PROJETO: PROJETAR EM SOCIEDADE,FALSE,FALSE,TRUE,FALSE,FALSE,11,13,L232,,,,,,,,,,,,,,,,,,,,,,4o
Guilherme Toledo,DSG1814,1AB,6,PROJETO: PROJETAR EM SOCIEDADE,TRUE,FALSE,FALSE,FALSE,FALSE,9,13,L232,13 ART,,,,,,,,,,,,,,,,,,,,,
Guilherme Toledo,DSG1814,1AB,6,PROJETO: PROJETAR EM SOCIEDADE,FALSE,FALSE,TRUE,FALSE,FALSE,11,13,L232,,,,,,,,,,,,,,,,,,,,,,4o
Guilherme Toledo,DSG1814,1AC,6,PROJETO: PROJETAR EM SOCIEDADE,TRUE,FALSE,FALSE,FALSE,FALSE,9,13,L260,13 ART,,,,,,,,,,,,,,,,,,,,,4o
Guilherme Toledo,DSG1814,1AC,6,PROJETO: PROJETAR EM SOCIEDADE,FALSE,FALSE,TRUE,FALSE,FALSE,11,13,L260,,,,,,,,,,,,,,,,,,,,,,
Guilherme Toledo,DSG1814,1AD,6,PROJETO: PROJETAR EM SOCIEDADE,TRUE,FALSE,FALSE,FALSE,FALSE,9,13,L260,14 ART,,,,,,,,,,,,,,,,,,,,,
Guilherme Toledo,DSG1814,1AD,6,PROJETO: PROJETAR EM SOCIEDADE,FALSE,FALSE,TRUE,FALSE,FALSE,11,13,L260,,,,,,,,,,,,,,,,,,,,,,
Augusto Seibel,DSG1815,1AA,6,PROJETO: PROJETAR PARA CONCRETIZAR,TRUE,FALSE,FALSE,FALSE,FALSE,11,13,ART1,14 ART,,,,,,,,,,,,,,,,,,,,,5o
Augusto Seibel,DSG1815,1AA,6,PROJETO: PROJETAR PARA CONCRETIZAR,FALSE,FALSE,TRUE,FALSE,FALSE,9,13,ART1,,,,,,,,,,,,,,,,,,,,,,
Augusto Seibel,DSG1815,1AB,6,PROJETO: PROJETAR PARA CONCRETIZAR,TRUE,FALSE,FALSE,FALSE,FALSE,11,13,ART1,14 ART,,,,,,,,,,,,,,,,,,,,,5o
