lat,long,horario
-22.963119716666665,-43.208871383333324,12:23:4
-22.96310498333333,-43.20833471666666,12:23:8
-22.963051383333333,-43.2078786,12:23:12
-22.96299498333334,-43.20744166666667,12:23:16
-22.9629425,-43.20697915,12:23:20
-22.9628925,-43.206522483333345,12:23:24
-22.96284526666667,-43.2061125,12:23:29
-22.962795833333335,-43.20573805000001,12:23:33
-22.96275805,-43.20541583333333,12:23:37
-22.962774433333333,-43.20513999999999,12:23:41
-22.962829716666672,-43.204931933333334,12:23:45
-22.96284721666667,-43.20486748333333,12:23:49
-22.962862499999996,-43.20481110000001,12:23:53
-22.962873883333337,-43.20476581666667,12:23:57
-22.962884433333336,-43.204712216666664,12:24:1
-22.96288971666667,-43.20460750000001,12:24:5
-22.962854716666666,-43.20440721666667,12:24:9
-22.962716383333333,-43.204210266666664,12:24:13
-22.96250026666667,-43.20404333333333,12:24:17
-22.962239716666666,-43.20398693333333,12:24:21
-22.962033333333334,-43.20398360000001,12:24:25
-22.961896099999997,-43.20398664999999,12:24:30
-22.961705266666666,-43.20399860000001,12:24:34
-22.96155666666667,-43.20401360000001,12:24:38
-22.961453883333334,-43.20402721666666,12:24:42
-22.96139555,-43.2040361,12:24:46
-22.96139555,-43.2040361,12:24:50
-22.96139555,-43.2040361,12:24:54
-22.96139555,-43.2040361,12:24:58
-22.96138665,-43.20403666666666,12:25:2
-22.961337766666663,-43.204039166666675,12:25:6
-22.96129915,-43.20404165,12:25:10
-22.961264716666665,-43.20404416666667,12:25:14
-22.961061933333333,-43.20408083333333,12:25:18
-22.9607061,-43.204123333333335,12:25:22
-22.96028776666667,-43.20419471666667,12:25:26
-22.959879433333334,-43.204253599999994,12:25:31
-22.9594686,-43.20430471666666,12:25:35
-22.959012500000004,-43.20434804999999,12:25:39
-22.958509716666672,-43.204385550000005,12:25:43
-22.958014983333335,-43.20438693333334,12:25:47
-22.95753029350715,-43.20432849298572,12:25:51
-22.957042572762916,-43.20426571039483,12:25:55
-22.956560830384788,-43.20420369729938,12:25:59
-22.956071162647646,-43.204140862636585,12:26:3
-22.955577155829065,-43.2040774766233,12:26:7
-22.954943577900078,-43.203996206068005,12:26:11
-22.9544525006665,-43.20393321577102,12:26:15
-22.953947626437238,-43.20386845575561,12:26:19
-22.953492079482704,-43.203810020356116,12:26:23
-22.95306168948351,-43.20375481437667,12:26:27
-22.952617843676776,-43.20369788246891,12:26:32
-22.95217478674575,-43.20364105168564,12:26:36
-22.95171581975238,-43.203582128678384,12:26:40
-22.951296126943504,-43.20352823907384,12:26:44
-22.95088245578531,-43.203475122691515,12:26:48
-22.950424472979563,-43.20341631659653,12:26:52
-22.949941415258436,-43.20335429080846,12:26:56
-22.949457235998715,-43.20329212099415,12:27:0
-22.948970779780062,-43.203229656237916,12:27:4
-22.948450487693865,-43.203162908478156,12:27:8
-22.947745121433584,-43.20307220461878,12:27:12
-22.947135931650866,-43.20299375266975,12:27:16
-22.94652493373285,-43.202915067867394,12:27:20
-22.945913701695936,-43.20283649166808,12:27:24
-22.945324956790135,-43.2027609242072,12:27:28
-22.94474868788457,-43.20268695808433,12:27:33
-22.94416914189886,-43.20261257133699,12:27:37
-22.943617791488084,-43.20254194920538,12:27:41
-22.943089616101545,-43.20247430953519,12:27:45
-22.94258857163316,-43.20241012388951,12:27:49
-22.94212835012443,-43.2023502283827,12:27:53
-22.94160055,-43.20230058586151,12:27:57
-22.941118599999996,-43.20230058586151,12:28:1
-22.940653979292165,-43.2023390471734,12:28:5
-22.94012273187359,-43.20239102897396,12:28:9
-22.939684995296556,-43.20250354087356,12:28:13
-22.939270541131815,-43.202662650183946,12:28:17
-22.938903827011025,-43.20283751326495,12:28:21
-22.938747499999998,-43.20295026666666,12:28:26
-22.938715178795533,-43.20259955610828,12:28:30
-22.93915055,-43.20214443333333,12:28:34
-22.93949721666667,-43.202216650000004,12:28:38
-22.939685,-43.20234776666666,12:28:42
-22.93985555,-43.20230333333334,12:28:46
-22.939892499999996,-43.20202055,12:28:50
-22.939912766666662,-43.201721933333324,12:28:54
-22.939926952662383,-43.20145391787318,12:28:58
-22.93997962285377,-43.20108694413789,12:29:2
-22.940054162715416,-43.20075757311006,12:29:6
-22.940133025731093,-43.200412531983304,12:29:10
-22.940206383333333,-43.20003583333334,12:29:14
-22.940264623011448,-43.19965500499747,12:29:18
-22.940212000403935,-43.199285110472175,12:29:23
-22.940169433333335,-43.199007216666665,12:29:27
-22.940190266666665,-43.19893055,12:29:31
-22.940199149999994,-43.19890081666667,12:29:35
-22.94023083333333,-43.19880221666667,12:29:39
-22.94031305,-43.19859526666667,12:29:43
-22.94040888333333,-43.19833276666667,12:29:47
-22.94049653781999,-43.19804954720366,12:29:51
-22.94053524737471,-43.19790560303013,12:29:55
-22.94055513853583,-43.19783028120474,12:29:59
-22.940589059148046,-43.197701409311456,12:30:3
-22.940604902287163,-43.197621511301804,12:30:7
-22.940617083458253,-43.197523551764085,12:30:11
-22.940621430939544,-43.19746242598915,12:30:15
-22.94062276268401,-43.197440113176064,12:30:19
-22.94062503877518,-43.197400567120596,12:30:24
-22.94062522988571,-43.19739724661022,12:30:28
-22.94062865836135,-43.197337678651316,12:30:32
-22.94057625716241,-43.19717588174344,12:30:36
-22.9404807921367,-43.197028084426066,12:30:40
-22.940452104371186,-43.1969838006053,12:30:44
-22.94045210436225,-43.19698380061218,12:30:48
-22.94045210433605,-43.19698380063213,12:30:52
-22.94045210437993,-43.19698380059882,12:30:56
-22.94045210436463,-43.196983800610475,12:31:0
-22.94045189989329,-43.196983486715396,12:31:4
